name,primary_field,bio
伊恩·古德费洛,人工智能,生成对抗网络（GANs）的发明者，《深度学习》（花书）合著者，曾在谷歌和苹果担任高级研究科学家。
李航,自然语言处理,统计学习与自然语言处理专家，曾任微软亚洲研究院高级研究员、字节跳动研究部门负责人，《统计学习方法》作者。
托马斯·科曼,算法设计,达特茅斯学院教授，《算法导论》（CLRS）合著者，算法与数据结构领域权威教材作者之一。
威廉·吉布森,赛博朋克文学,科幻小说家，赛博朋克运动领军人物，首次提出「赛博空间」概念，代表作《神经漫游者》。
尼尔·斯蒂芬森,赛博朋克文学,美国科幻作家，擅长信息社会主题，《雪崩》首次提出「元宇宙」与「化身」概念。
菲利普·迪克,科幻文学,美国科幻文学鬼才，作品深切探讨现实本质与人性定义，《银翼杀手》原著作者。
刘慈欣,硬科幻,雨果奖得主，中国科幻代表作家，工程师背景，代表作《三体》三部曲。
曹雪芹,中国古典文学,清代小说家，中国古典小说巅峰《红楼梦》作者，以家族兴衰写尽世态人情。
吴承恩,中国古典文学,明代小说家，神魔小说经典《西游记》作者。
施耐庵,中国古典文学,元末明初小说家，英雄传奇《水浒传》作者，章回体小说先驱。
罗贯中,中国古典文学,元末明初小说家，历史演义代表作《三国演义》作者，相传为施耐庵门人。
钱钟书,中国现代文学,学者型作家，讽刺与幽默见长，代表作《围城》，兼有《管锥编》等学术巨著。
余华,中国当代文学,当代作家，冷峻叙事风格，代表作《活着》《许三观卖血记》。
路遥,中国当代文学,现实主义作家，茅盾文学奖得主，代表作《平凡的世界》。
陈忠实,中国当代文学,关中乡土史诗书写者，茅盾文学奖得主，代表作《白鹿原》。
加西亚·马尔克斯,拉美文学,魔幻现实主义大师，诺贝尔文学奖得主，代表作《百年孤独》《霍乱时期的爱情》。
乔治·奥威尔,反乌托邦文学,英国政治讽刺作家，代表作《1984》《动物农场》，对极权社会的批判影响深远。
简·奥斯汀,英国文学,英国摄政时期风俗小说家，代表作《傲慢与偏见》。
夏洛蒂·勃朗特,英国文学,英国维多利亚时期作家，女性成长小说《简爱》作者。
威廉·莎士比亚,戏剧,文艺复兴时期英国剧作家与诗人，四大悲剧与众多喜剧的作者，西方戏剧传统的奠基者。
陀思妥耶夫斯基,俄国文学,俄国心理现实主义大师，代表作《罪与罚》《卡拉马佐夫兄弟》。
列夫·托尔斯泰,俄国文学,俄国史诗级作家，代表作《战争与和平》《安娜·卡列尼娜》。
村上春树,日本文学,日本当代畅销作家，都市情感与孤独主题见长，代表作《挪威的森林》。
川端康成,日本文学,诺贝尔文学奖得主，日本新感觉派代表，代表作《雪国》。
夏目漱石,日本文学,明治时期国民作家，讽刺文学经典《我是猫》作者。
芥川龙之介,日本文学,大正时期短篇小说鬼才，代表作《罗生门》，芥川奖以其命名。
东野圭吾,推理小说,日本本格与社会派推理代表作家，代表作《嫌疑人X的献身》。
钱穆,历史学,历史学家，中国通史与政治制度研究大家，代表作《国史大纲》《中国历代政治得失》。
黄仁宇,历史学,「大历史观」倡导者，代表作《万历十五年》。
斯塔夫里阿诺斯,世界史,美国历史学家，《全球通史》作者，世界史教材型著作的代表。
尤瓦尔·赫拉利,文明史,以色列历史学家，宏观人类史叙事代表，《人类简史》作者。
罗素,西方哲学,英国哲学家、逻辑学家，分析哲学代表人物之一，诺贝尔文学奖得主，《西方哲学史》作者。
柏拉图,西方哲学,古希腊哲学家，苏格拉底的学生、亚里士多德的老师，《理想国》作者。
海德格尔,存在主义,德国哲学家，二十世纪存在主义源流之一，《存在与时间》作者。
理查德·格里格,认知心理,美国心理学家，《心理学与生活》合著者。
戴维·迈尔斯,社会心理,美国社会心理学家，《社会心理学》经典教材作者。
曼昆,经济学,哈佛大学经济学教授，新凯恩斯主义代表，《经济学原理》作者。
亚当·斯密,经济思想,古典经济学奠基人，「看不见的手」理论提出者，《国富论》作者。
张明楷,刑法学,清华大学法学院教授，中国刑法学体系化代表学者。
朱庆育,民法学,法学学者，德国法学脉络下的民法总论研究者。
李良荣,新闻理论,复旦大学新闻学院教授，《新闻学概论》主流教材作者。
郭庆光,传播理论,中国人民大学新闻学院教授，《传播学教程》作者。
贡布里希,美术史,英国艺术史学家，美术史普及经典《艺术的故事》作者。
格劳特,音乐史,美国音乐学家，《西方音乐史》权威教材作者之一。
史蒂芬·霍金,宇宙学,英国理论物理学家与科普作家，黑洞理论研究者，《时间简史》作者。
达尔文,生命科学,英国博物学家，进化论奠基人，《物种起源》作者。
悉达多·穆克吉,生命科学,印度裔美国医生与作家，普利策奖得主，《基因传》《众病之王》作者。
蕾切尔·卡森,环境科学,美国海洋生物学家，现代环保运动先驱，《寂静的春天》作者。
侯世达,认知科学,美国认知科学家，《哥德尔、艾舍尔、巴赫》作者，研究自指与类比思维。
哈罗德·阿贝尔森,程序设计,MIT 教授，《计算机程序的构造和解释》（SICP）合著者。
谢希仁,计算机网络,国内计算机网络教材代表作者，《计算机网络》多版主编。
亚伯拉罕·西尔伯沙茨,操作系统,耶鲁大学教授，「恐龙书」《操作系统概念》与《数据库系统概念》合著者。
西尔伯沙茨,数据库,《数据库系统概念》作者之一（与亚伯拉罕·西尔伯沙茨为同一学术署名的不同馆藏录入）。
克里斯托弗·毕晓普,机器学习,微软研究院科学家，《模式识别与机器学习》（PRML）作者。
吴军,科技史,计算机科学家与科技作家，《浪潮之巅》《数学之美》作者。
斯蒂芬·茨威格,传记文学,奥地利作家，传记特写大师，《人类群星闪耀时》作者。
司马迁,中国史,西汉史学家，中国纪传体通史开山之作《史记》作者，被尊为「史圣」。
佚名,古典文学,传统文献中作者不详或集体创作的统称，如《诗经》等先秦典籍。
