source_author,target_author,relation_type,note
列夫·托尔斯泰,陀思妥耶夫斯基,INFLUENCED,俄国现实主义与心理描写传统
陀思妥耶夫斯基,列夫·托尔斯泰,CONTEMPORARY_WITH,十九世纪俄国文学双峰
加西亚·马尔克斯,乔治·奥威尔,CONTEMPORARY_WITH,二十世纪小说对现代社会的批判书写
乔治·奥威尔,加西亚·马尔克斯,CONTEMPORARY_WITH,二十世纪小说对现代社会的批判书写
威廉·莎士比亚,列夫·托尔斯泰,INFLUENCED,戏剧与史诗传统对后世长篇叙事的影响
川端康成,夏目漱石,CONTEMPORARY_WITH,日本近代文学不同代际代表
夏目漱石,芥川龙之介,INFLUENCED,明治讽刺与心理短篇的承续
芥川龙之介,夏目漱石,CONTEMPORARY_WITH,大正时期小说高峰
村上春树,川端康成,INFLUENCED,都市情感书写中的美学与孤独主题
东野圭吾,芥川龙之介,INFLUENCED,本格推理与道德困境叙事
刘慈欣,菲利普·迪克,INFLUENCED,硬科幻与人工智能哲学追问
菲利普·迪克,威廉·吉布森,INFLUENCED,赛博朋克与身份真实主题
威廉·吉布森,菲利普·迪克,CONTEMPORARY_WITH,美国科幻新浪潮
曹雪芹,罗贯中,CONTEMPORARY_WITH,明清古典小说四大名著时代
吴承恩,施耐庵,CONTEMPORARY_WITH,神魔与英雄传奇叙事
施耐庵,罗贯中,CONTEMPORARY_WITH,章回体历史演义传统
钱钟书,余华,CONTEMPORARY_WITH,中国现代文学讽刺与现实叙事
余华,路遥,CONTEMPORARY_WITH,中国当代乡土与现实长篇
余华,陈忠实,CONTEMPORARY_WITH,当代文学乡土史诗书写
司马迁,钱穆,INFLUENCED,中国史传传统与通史研究
钱穆,黄仁宇,CONTEMPORARY_WITH,二十世纪中国史研究范式
柏拉图,罗素,INFLUENCED,西方哲学史脉络中的承续讨论
亚当·斯密,曼昆,INFLUENCED,古典经济学到现代教材体系
